#   iter   convergence     efermi     ef_shift      lost      mag. mom          efree                etot              entropy
      0  0.21301623E+01   0.7354301   0.0040025   2.4010986  -0.0000000     -94174.02337860     -94174.02337860          0.00000000
      1  0.17226348E+01   0.7356144   0.0040667   2.4394953  -0.0000000     -94174.05183165     -94174.05183165          0.00000000
      2  0.86035746E+00   0.7361248   0.0041445   2.4857130  -0.0000000     -94174.08629464     -94174.08629464          0.00000000
      3  0.78454706E+00   0.7362558   0.0040644   2.4375027  -0.0000000     -94174.05109135     -94174.05109135          0.00000000
      4  0.79486424E-01   0.7366618   0.0008664   0.5192746  -0.0000000     -94172.64257676     -94172.64257676          0.00000000
      5  0.77511998E-01   0.7366585   0.0008630   0.5171995  -0.0000000     -94172.64105519     -94172.64105519          0.00000000
      6  0.31949967E-01   0.7365891   0.0004604   0.2760025  -0.0000000     -94172.46362903     -94172.46362903          0.00000000
      7  0.21813973E-01   0.7365603   0.0000632   0.0378749  -0.0000000     -94172.28826445     -94172.28826445          0.00000000
      8  0.22532834E-01   0.7365596   0.0000647   0.0387848  -0.0000000     -94172.28893614     -94172.28893614          0.00000000
      9  0.44392191E-01   0.7365522   0.0001179   0.0707000  -0.0000000     -94172.31250297     -94172.31250297          0.00000000
     10  0.44676449E-01   0.7365524   0.0001192   0.0714646  -0.0000000     -94172.31306686     -94172.31306686          0.00000000
     11  0.37989494E-01   0.7364728  -0.0001037  -0.0622404   0.0000000     -94172.21455954     -94172.21455954          0.00000000
     12  0.36220507E-01   0.7364638  -0.0001178  -0.0707058  -0.0000000     -94172.20832736     -94172.20832736          0.00000000
     13  0.34640264E-01   0.7364607  -0.0001167  -0.0700245  -0.0000000     -94172.20882558     -94172.20882558          0.00000000
     14  0.21685834E-01   0.7364396  -0.0001023  -0.0614307   0.0000000     -94172.21511805     -94172.21511805          0.00000000
     15  0.19926115E-01   0.7364367  -0.0000990  -0.0594220  -0.0000000     -94172.21659230     -94172.21659230          0.00000000
     16  0.14151886E-02   0.7364013  -0.0000168  -0.0101230   0.0000000     -94172.25284597     -94172.25284597          0.00000000
     17  0.70832312E-03   0.7364003  -0.0000148  -0.0089044  -0.0000000     -94172.25374180     -94172.25374180          0.00000000
     18  0.13712359E-02   0.7363992  -0.0000114  -0.0068514  -0.0000000     -94172.25525367     -94172.25525367          0.00000000
     19  0.67867247E-03   0.7363991  -0.0000015  -0.0008933   0.0000000     -94172.25964341     -94172.25964341          0.00000000
     20  0.70470144E-03   0.7363994  -0.0000004  -0.0002457  -0.0000000     -94172.26012064     -94172.26012064          0.00000000
     21  0.66044673E-03   0.7363993  -0.0000004  -0.0002531  -0.0000000     -94172.26011515     -94172.26011515          0.00000000
     22  0.50858392E-03   0.7363990  -0.0000000  -0.0000209   0.0000000     -94172.26028559     -94172.26028559          0.00000000
     23  0.23789853E-03   0.7363985   0.0000000   0.0000192  -0.0000000     -94172.26031429     -94172.26031429          0.00000000
     24  0.22260538E-03   0.7363985   0.0000002   0.0001164  -0.0000000     -94172.26038581     -94172.26038581          0.00000000
     25  0.21502783E-03   0.7363985   0.0000001   0.0000853  -0.0000000     -94172.26036284     -94172.26036284          0.00000000
