# site betah h T M DoS(Ef) N Ef
sublattice 1 0.1 1.7020526276593403e-05 26.87328611041989
sublattice 2 2.0928725094073143e-08 3.4915721262634395e-12 26.340622598690437
1 0.1 1.726691866419984e-05 27.26374477608206 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
2 0.1 1.6784865070633397e-05 26.502602241478197 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
3 0.1 1.726691866565153e-05 27.26374477837422 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
4 0.1 1.678486507236911e-05 26.502602244218803 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
5 0.1 1.6786036877776283e-05 26.504452469906102 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
6 0.1 1.7340874648277734e-05 27.38051819082401 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
7 0.1 1.678603688605921e-05 26.50445248298451 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
8 0.1 1.7340874654178854e-05 27.380518200141637 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
9 0.1 1.6817272369179072e-05 26.55377201123493 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
10 0.1 1.730616258354387e-05 27.325709289185774 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
11 0.1 1.6817272380210663e-05 26.553772028653356 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
12 0.1 1.7306162583118955e-05 27.32570928851485 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
13 0.1 1.6793425828254355e-05 26.51611931613403 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
14 0.1 1.7174935060141545e-05 27.118506502651847 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
15 0.1 1.679342582795853e-05 26.516119315666938 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
16 0.1 1.7174935059287078e-05 27.1185065013027 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
17 0.1 1.6793681543388454e-05 26.51652307691839 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
18 0.1 1.7163413460742645e-05 27.10031437059634 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
19 0.1 1.679368154466055e-05 26.516523078926973 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
20 0.1 1.716341345652704e-05 27.100314363940065 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
21 0.1 1.721458899181479e-05 27.181118404432276 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
22 0.1 1.6804140205667684e-05 26.533036872027548 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
23 0.1 1.7214589003460563e-05 27.181118422820465 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
24 0.1 1.6804140201714998e-05 26.533036865786414 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
25 2.0928725094073143e-08 6.754838522378853e-12 50.961577840093035 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
26 2.0928725094073143e-08 2.283090165833253e-13 1.7224671887978542 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
27 0.0 -8.738224008216062e-16 0.0 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
28 0.0 -8.737723727008477e-16 0.0 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
29 0.0 1.0835569809730895e-14 0.0 1.0449922010615413 608.7243556228749 214.48055179394393 0.7338763803008099
