# site betah h T M DoS(Ef) N Ef
sublattice 1 0.1 3.618974429562724e-05 57.13908823470156
sublattice 2 0.11000000000000001 3.790104972596288e-12 5.440093260548089e-06
1 0.1 3.625839303471613e-05 57.25049129389053 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
2 0.1 3.615705512334774e-05 57.090482958227966 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
3 0.1 3.625839303615845e-05 57.25049129616791 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
4 0.1 3.615705512481895e-05 57.09048296055094 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
5 0.1 3.615940335653791e-05 57.094190714031896 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
6 0.1 3.629983616679104e-05 57.31592827329734 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
7 0.1 3.6159403365106755e-05 57.09419072756176 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
8 0.1 3.629983617369017e-05 57.315928284190775 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
9 0.1 3.6182335108493465e-05 57.130398995156405 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
10 0.1 3.626961806361713e-05 57.26821514727664 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
11 0.1 3.6182335119003735e-05 57.13039901175169 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
12 0.1 3.6269618064988974e-05 57.26821514944273 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
13 0.1 3.617308442104547e-05 57.115792544877024 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
14 0.1 3.6114928276563825e-05 57.02396642502436 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
15 0.1 3.617308442219397e-05 57.11579254669043 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
16 0.1 3.6114928276820056e-05 57.023966425428945 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
17 0.1 3.6189736318546664e-05 57.1420851955033 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
18 0.1 3.610714625672388e-05 57.01167893281321 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
19 0.1 3.61897363192195e-05 57.14208519656567 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
20 0.1 3.610714625258888e-05 57.01167892628424 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
21 0.1 3.618103838713692e-05 57.128351529516124 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
22 0.1 3.618435701486447e-05 57.13359150358428 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
23 0.1 3.618103839785752e-05 57.128351546443504 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
24 0.1 3.6184357013812574e-05 57.1335915019234 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
25 0.11000000000000001 7.332256948292637e-12 1.0524843774087443e-05 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
26 0.11000000000000001 2.4796451411287317e-13 3.5593239448650014e-07 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
27 0.0 -8.79910774280589e-16 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
28 0.0 -8.7917901315256635e-16 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
29 0.0 1.0655125959192002e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
30 0.0 1.0727579076734803e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
31 0.0 1.0790459781433969e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
32 0.0 1.089073166555193e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
33 0.0 1.077016202758541e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
34 0.0 1.0774561920369048e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
35 0.0 1.085878402539671e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
36 0.0 1.0774815263152211e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
37 0.0 1.0707115288474882e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
38 0.0 1.0847047014396528e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
39 0.0 1.072470800634177e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
40 0.0 1.0834114622039206e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
41 0.0 -1.327326386434677e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
42 0.0 -1.3330139330760271e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
43 0.0 -1.3105951374105698e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
44 0.0 -1.3225481593521927e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
45 0.0 -1.3288121472985853e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
46 0.0 -1.3236043152195796e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
47 0.0 -1.3197062670933423e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
48 0.0 -1.3231843835418851e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
49 0.0 -1.315733286594108e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
50 0.0 -1.3322045300707434e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
51 0.0 -1.3247417544744244e-14 0.0 1.0346998700293175 608.1582775913863 216.04346220162137 0.7363981
