# site betah h T M DoS(Ef) N Ef
sublattice 1 2.0 -3.611936131766996e-05 -2.851398114963719
sublattice 2 -2.3549038308743343e-06 4.226231795206969e-11 -2.8335307391241
1 2.0 -2.7668862952262816e-05 -2.1843993875004655 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
2 2.0 -4.367138077956112e-05 -3.447764834361378 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
3 2.0 -2.766886284374955e-05 -2.1843993789335605 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
4 2.0 -4.3671380652464684e-05 -3.4477648243273813 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
5 2.0 -4.411762291056148e-05 -3.48299472295629 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
6 2.0 -2.7557369716144124e-05 -2.1755972315236445 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
7 2.0 -4.4117622680033245e-05 -3.482994704756553 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
8 2.0 -2.7557369559618995e-05 -2.1755972191663075 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
9 2.0 -4.408193916267742e-05 -3.4801775669446857 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
10 2.0 -2.703310271998377e-05 -2.134207443927482 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
11 2.0 -4.408193888427797e-05 -3.480177544965623 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
12 2.0 -2.7033102660528147e-05 -2.1342074392335966 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
13 2.0 -4.403735461738608e-05 -3.4766577084162162 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
14 2.0 -2.9356377942551524e-05 -2.3176251823960294 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
15 2.0 -4.403735454558431e-05 -3.4766577027476147 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
16 2.0 -2.9356377878281327e-05 -2.317625177322025 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
17 2.0 -4.401310121831397e-05 -3.4747429546353095 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
18 2.0 -2.8838967408699634e-05 -2.2767766982112327 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
19 2.0 -4.4013101093237656e-05 -3.474742944760799 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
20 2.0 -2.883896739204793e-05 -2.2767766968966137 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
21 2.0 -2.94649525639583e-05 -2.326196919839929 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
22 2.0 -4.3591304579728256e-05 -3.4414429851683073 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
23 2.0 -2.9464952271053154e-05 -2.326196896715687 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
24 2.0 -4.3591304588620815e-05 -3.441442985870344 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
25 -2.3549038308743343e-06 8.176893121116319e-11 -5.482590539819503 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
26 -2.3549038308743343e-06 2.755698684287749e-12 -0.1847690475250801 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
27 0.0 -1.2905794387923781e-14 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
28 0.0 -1.2937063421255272e-14 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
29 0.0 1.9127834932058134e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
30 0.0 1.912587679671215e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
31 0.0 1.912639122010086e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
32 0.0 1.9125069766271741e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
33 0.0 1.91020195807474e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
34 0.0 1.9118000079551826e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
35 0.0 1.913675667802462e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
36 0.0 1.9105946430876967e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
37 0.0 1.9111441022732354e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
38 0.0 1.9123119248402738e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
39 0.0 1.9094861166766596e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
40 0.0 1.9136966267405448e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
41 0.0 -2.0214187388224365e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
42 0.0 -2.0188870074075119e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
43 0.0 -2.0233961253582928e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
44 0.0 -2.0209890754230286e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
45 0.0 -2.0185516416166196e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
46 0.0 -2.022531568739986e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
47 0.0 -2.01802185259652e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
48 0.0 -2.0203084165331425e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
49 0.0 -2.0210798478850002e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
50 0.0 -2.0185341110206052e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
51 0.0 -2.0192660798056866e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
52 0.0 -2.0170306216943824e-13 0.0 16.90853058111602 617.9994847993106 214.47997515273437 0.7327793015860508
