# site betah h T M DoS(Ef) N Ef
sublattice 1 5.0 -0.0006592051730295365 -20.8160534315008
sublattice 2 -2.2659038374738617e-07 2.942694156601443e-11 -20.50460670023869
1 5.0 -0.0006407674652068271 -20.234902808038868 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
2 5.0 -0.000676755736976784 -21.371382441635284 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
3 5.0 -0.000640767464837077 -20.23490279636246 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
4 5.0 -0.000676755736573956 -21.371382428914316 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
5 5.0 -0.000676720385837372 -21.37026608159097 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
6 5.0 -0.0006410576553387637 -20.24406677024906 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
7 5.0 -0.0006767203852726673 -21.37026606375804 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
8 5.0 -0.0006410576549478666 -20.244066757904836 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
9 5.0 -0.0006758394938870852 -21.34244824804935 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
10 5.0 -0.0006400662074418254 -20.212757671955252 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
11 5.0 -0.0006758394932504235 -21.342448227944093 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
12 5.0 -0.0006400662071928229 -20.21275766409196 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
13 5.0 -0.0006771058272367305 -21.38243799997914 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
14 5.0 -0.0006439003751960321 -20.33383749390277 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
15 5.0 -0.0006771058269536285 -21.382437991039016 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
16 5.0 -0.0006439003749252224 -20.333837485350823 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
17 5.0 -0.0006766296219116877 -21.36739983246605 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
18 5.0 -0.0006433046726411786 -20.315025703645624 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
19 5.0 -0.0006766296214939239 -21.36739981927342 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
20 5.0 -0.0006433046724215497 -20.315025696709913 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
21 5.0 -0.0006423133704465366 -20.283721206481186 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
22 5.0 -0.00067600126653911 -21.347556893660137 25.279465438730124 640.1158284700642 214.48065253140993 0.7314006889270824
