# site betah h T M DoS(Ef) N Ef
sublattice 1 10.0 -0.001056405984895664 -16.679331660796958
sublattice 2 -1.225122449032663e-07 1.2770547368448185e-11 -16.458028344178718
1 10.0 -0.001032962266696598 -16.310043930628172 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
2 10.0 -0.0010799994274139824 -17.052741100786044 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
3 10.0 -0.0010329622661776829 -16.310043922434723 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
4 10.0 -0.0010799994268534492 -17.052741091935456 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
5 10.0 -0.0010777741642560474 -17.017605122157136 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
6 10.0 -0.001031548339171276 -16.287718604472076 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
7 10.0 -0.0010777741635035866 -17.01760511027609 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
8 10.0 -0.0010315483386564611 -16.287718596343353 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
9 10.0 -0.0010793921316521722 -17.043152154296493 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
10 10.0 -0.0010324463907505123 -16.301898465512508 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
11 10.0 -0.0010793921308174072 -17.0431521411159 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
12 10.0 -0.001032446390388455 -16.301898459795783 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
13 10.0 -0.0010799543058530323 -17.05202865037695 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
14 10.0 -0.0010365122556341348 -16.366096777869636 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
15 10.0 -0.001079954305443628 -17.05202864391263 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
16 10.0 -0.0010365122552377767 -16.3660967716113 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
17 10.0 -0.001078037055011085 -17.02175605752561 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
18 10.0 -0.0010334753252946307 -16.318144912063033 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
19 10.0 -0.0010780370544218715 -17.021756048222194 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
20 10.0 -0.001033475324953195 -16.3181449066719 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
21 10.0 -0.0010346588719823246 -16.336832621420687 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
22 10.0 -0.001080111288222451 -17.054507336079517 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
23 10.0 -0.0010346588710873283 -16.336832607289082 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
24 10.0 -0.0010801112880151728 -17.054507332806672 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
25 -1.225122449032663e-07 2.47493375729802e-11 -31.897359760803965 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
26 -1.225122449032663e-07 7.917633347541671e-13 -1.020437812298 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
27 0.0 -2.1123085073580956e-14 0.0 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
28 0.0 -2.113162062357481e-14 0.0 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
29 0.0 3.257914864146229e-13 0.0 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
30 0.0 3.257344763293514e-13 0.0 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
31 0.0 3.2587253549438494e-13 0.0 28.532489352195082 655.7999274531994 214.47939964582955 0.7306722884858742
