#  atom  type     occ.     alat        blat        clat        rws              vuc                 ekin                 epot                 exc                 etot                 TS                 TSmix               E-TS           F=E-TS-TSmix           Etot_Lloyd
    Fe     1     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe     2     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si     3     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187103        268.76513968        -39.73611297       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe     4     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604709       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe     5     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604709       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si     6     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187103        268.76513968        -39.73611297       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe     7     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe     8     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si     9     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187103        268.76513968        -39.73611297       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    10     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    11     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    12     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187103        268.76513968        -39.73611297       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    13     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Fe    14     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Si    15     0.120   21.490600   21.490600   21.490600    2.731812         85.39672832       -806.90187112        268.76513978        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    16     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Fe    17     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Si    18     0.120   21.490600   21.490600   21.490600    2.731812         85.39672832       -806.90187112        268.76513978        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    19     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Fe    20     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Si    21     0.120   21.490600   21.490600   21.490600    2.731812         85.39672832       -806.90187112        268.76513978        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    22     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Fe    23     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Si    24     0.120   21.490600   21.490600   21.490600    2.731812         85.39672832       -806.90187112        268.76513978        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    25     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    26     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    27     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187108        268.76513974        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    28     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    29     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    30     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187108        268.76513974        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    31     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    32     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    33     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187108        268.76513974        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    34     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    35     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    36     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187108        268.76513974        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    37     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    38     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    39     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187103        268.76513968        -39.73611297       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    40     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    41     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    42     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187103        268.76513969        -39.73611297       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    43     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    44     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    45     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187103        268.76513968        -39.73611297       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    46     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    47     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571561       1087.45604708       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    48     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187103        268.76513968        -39.73611297       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    49     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Fe    50     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Si    51     0.120   21.490600   21.490600   21.490600    2.731812         85.39672832       -806.90187112        268.76513978        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    52     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Fe    53     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Si    54     0.120   21.490600   21.490600   21.490600    2.731812         85.39672832       -806.90187112        268.76513977        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    55     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Fe    56     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Si    57     0.120   21.490600   21.490600   21.490600    2.731812         85.39672832       -806.90187112        268.76513978        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    58     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Fe    59     0.440   21.490600   21.490600   21.490600    2.731812         85.39672832      -3519.52571576       1087.45604724       -107.08969419      -2539.15936272          0.00000000          0.00000000      -2539.15936272      -2539.15936272     -94172.12592144
    Si    60     0.120   21.490600   21.490600   21.490600    2.731812         85.39672832       -806.90187112        268.76513978        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    61     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    62     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    63     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187108        268.76513974        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    64     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    65     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    66     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187108        268.76513974        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    67     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    68     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    69     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187108        268.76513974        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    70     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Fe    71     0.440   21.490600   21.490600   21.490600    2.731812         85.39672777      -3519.52571572       1087.45604720       -107.08969419      -2539.15936271          0.00000000          0.00000000      -2539.15936271      -2539.15936271     -94172.12592144
    Si    72     0.120   21.490600   21.490600   21.490600    2.731812         85.39672777       -806.90187108        268.76513974        -39.73611298       -577.87284432          0.00000000          0.00000000       -577.87284432       -577.87284432     -94172.12592144
    Fe    73     0.500   21.490600   21.490600   21.490600    2.530464         67.87172425      -3512.61853302       1080.38389641       -106.86097906      -2539.09561567          0.00000000          0.00000000      -2539.09561567      -2539.09561567     -94172.12592144
    Fe    74     0.500   21.490600   21.490600   21.490600    2.530464         67.87172425      -3512.61853302       1080.38389641       -106.86097906      -2539.09561567          0.00000000          0.00000000      -2539.09561567      -2539.09561567     -94172.12592144
    Fe    75     0.500   21.490600   21.490600   21.490600    2.530464         67.87172425      -3512.61853303       1080.38389642       -106.86097906      -2539.09561567          0.00000000          0.00000000      -2539.09561567      -2539.09561567     -94172.12592144
    Fe    76     0.500   21.490600   21.490600   21.490600    2.530464         67.87172425      -3512.61853302       1080.38389640       -106.86097906      -2539.09561567          0.00000000          0.00000000      -2539.09561567      -2539.09561567     -94172.12592144
    La    77     1.000   21.490600   21.490600   21.490600    3.281653        148.03570973     -23054.37543206       6545.27198517       -392.20413208     -16901.30757897          0.00000000          0.00000000     -16901.30757897     -16901.30757897     -94172.12592144
    La    78     1.000   21.490600   21.490600   21.490600    3.281653        148.03570973     -23054.37543206       6545.27198517       -392.20413208     -16901.30757897          0.00000000          0.00000000     -16901.30757897     -16901.30757897     -94172.12592144
    T:    78    28.000   21.490600   21.490600   21.490600    8.398447       2481.33631210    -129790.24843433      38992.42708188      -3374.30456899     -94172.12592144          0.00000000          0.00000000     -94172.12592144     -94172.12592144     -94172.12592144
