# site betah h T M DoS(Ef) N Ef
sublattice 1 0.1 7.816143767294793e-05 123.40715223802584
sublattice 2 0.03895542420116396 3.826405249555678e-05 155.0853652861525
1 0.1 7.830606037637276e-05 123.64200571958433 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
2 0.1 7.805552116851372e-05 123.24641474558888 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
3 0.1 7.830606036565478e-05 123.64200570266115 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
4 0.1 7.805552118980226e-05 123.2464147792026 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
5 0.1 7.805922714210748e-05 123.25226632390732 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
6 0.1 7.832967489602214e-05 123.67929206332968 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
7 0.1 7.805922714634974e-05 123.25226633060561 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
8 0.1 7.832967489696023e-05 123.6792920648109 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
9 0.1 7.805656978924272e-05 123.2480704747259 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
10 0.1 7.831921202253555e-05 123.66277162177796 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
11 0.1 7.805656980526368e-05 123.24807050002231 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
12 0.1 7.831921202844144e-05 123.66277163110314 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
13 0.1 7.805300588884308e-05 123.2424432234323 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
14 0.1 7.819775505100575e-05 123.4709961243213 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
15 0.1 7.805300590337159e-05 123.24244324637218 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
16 0.1 7.819775504155664e-05 123.47099610940157 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
17 0.1 7.805484627232622e-05 123.24534911340234 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
18 0.1 7.82193351780051e-05 123.50507024705121 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
19 0.1 7.805484626940298e-05 123.24534910878667 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
20 0.1 7.821933518157533e-05 123.50507025268847 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
21 0.1 7.821356619373978e-05 123.49596126069554 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
22 0.1 7.80724780735858e-05 123.27318899264763 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
23 0.1 7.8213566196419e-05 123.49596126492592 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
24 0.1 7.807247807212355e-05 123.27318899033878 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
25 0.03895542420116396 3.826671855586815e-05 155.10434076935874 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
26 0.03895542420116396 3.826138643522596e-05 155.08272838426402 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
27 0.0 -8.678204469867335e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
28 0.0 -8.662117034954782e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
29 0.0 -5.7614748065744686e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
30 0.0 -5.675353593464867e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
31 0.0 -5.653382145682504e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
32 0.0 -5.747967628053751e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
33 0.0 -5.802724737038581e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
34 0.0 -5.681602615571929e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
35 0.0 -5.728770989544936e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
36 0.0 -5.569663206630828e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
37 0.0 -5.789668151343267e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
38 0.0 -5.740600066937341e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
39 0.0 -5.672354746865082e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
40 0.0 -5.633708036940914e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
41 0.0 -2.8192938299529257e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
42 0.0 -2.790541143262273e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
43 0.0 -2.91514188818711e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
44 0.0 -2.8243878982357494e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
45 0.0 -2.90220783390561e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
46 0.0 -2.75124222526982e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
47 0.0 -2.7650593087956856e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
48 0.0 -2.877730626243656e-15 0.0 1.222335897981996 603.2662435110398 214.4542476708393 0.7080644218327302
