# site betah h T M DoS(Ef) N Ef
sublattice 1 7.0 0.00315700205413031 71.20731594743224
sublattice 2 7.700000000000001 0.0009896287371898007 20.292210760676944
1 7.0 0.0031513868623997375 71.08440718210169 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
2 7.0 0.0031637696786407676 71.36372076250812 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
3 7.0 0.003151386862501661 71.08440718440075 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
4 7.0 0.003163769679496359 71.36372078180733 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
5 7.0 0.0031642878373250487 71.37540863222314 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
6 7.0 0.003150348960634584 71.0609957003728 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
7 7.0 0.0031642878377234358 71.37540864120939 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
8 7.0 0.0031503489609225185 71.06099570686762 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
9 7.0 0.0031653237170265864 71.39877450137962 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
10 7.0 0.0031525921578776832 71.11159448545091 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
11 7.0 0.0031653237178658144 71.39877452030974 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
12 7.0 0.003152592158457789 71.11159449853615 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
13 7.0 0.003163297606481939 71.35307244479004 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
14 7.0 0.0031458683915279555 70.95992952950584 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
15 7.0 0.003163297607186799 71.35307246068925 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
16 7.0 0.003145868391542564 70.95992952983539 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
17 7.0 0.003164785617679111 71.38663684008942 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
18 7.0 0.003148236454635519 71.01334486003108 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
19 7.0 0.0031647856179325327 71.38663684580573 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
20 7.0 0.003148236455059923 71.01334486960418 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
21 7.0 0.0031489901935610825 71.03034660573955 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
22 7.0 0.0031651371692027253 71.39456662720873 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
23 7.0 0.003148990193970118 71.03034661496599 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
24 7.0 0.003165137169477265 71.39456663340137 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
25 7.700000000000001 0.0009894235170525582 20.28907139445823 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
26 7.700000000000001 0.0009898339573270363 20.29748786349194 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
27 0.0 -2.156356784877078e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
28 0.0 -2.1547447749019853e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
29 0.0 -1.2761560598985087e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
30 0.0 -1.2750679652304333e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
31 0.0 -1.2757094034937257e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
32 0.0 -1.274849818453268e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
33 0.0 -1.275518661843751e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
34 0.0 -1.2749305877520315e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
35 0.0 -1.2757364290475842e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
36 0.0 -1.2733571328839972e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
37 0.0 -1.2766683418831193e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
38 0.0 -1.2755005704104983e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
39 0.0 -1.27436499052951e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
40 0.0 -1.2741734050591616e-13 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
41 0.0 -4.985406157040847e-14 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
42 0.0 -4.9926863806852315e-14 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
43 0.0 -4.968614783038773e-14 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
44 0.0 -4.99053737538621e-14 0.0 32.503946249001864 624.7899709110237 219.31199591339558 0.7106374
